"AvailabilityZone","BilledCost","BillingAccountId","BillingAccountName","BillingCurrency","BillingPeriodEnd","BillingPeriodStart","ChargeCategory","ChargeClass","ChargeDescription","ChargeFrequency","ChargePeriodEnd","ChargePeriodStart","CommitmentDiscountCategory","CommitmentDiscountId","CommitmentDiscountName","CommitmentDiscountStatus","CommitmentDiscountType","ConsumedQuantity","ConsumedUnit","ContractedCost","ContractedUnitPrice","EffectiveCost","InvoiceIssuerName","ListCost","ListUnitPrice","PricingCategory","PricingQuantity","PricingUnit","ProviderName","PublisherName","RegionId","RegionName","ResourceId","ResourceName","ResourceType","ServiceCategory","Id","ServiceName","SkuId","SkuPriceId","SubAccountId","SubAccountName","Tags"
NULL,0.00000080000,"1234567890123","SunBird","USD","2024-10-01 00:00:00","2024-09-01 00:00:00","Usage",NULL,"$0.40 per million Amazon SQS standard requests in Tier1 in US West (Oregon)","Usage-Based","2024-09-18 23:00:00","2024-09-18 22:00:00",NULL,NULL,NULL,NULL,NULL,2.000000000000000,"Requests",0.00000000000,0.00000000000,0.00000000000,"Amazon Web Services, Inc.",0.00000080000,"0.0000004","Standard",2.00000000000,"Requests","AWS","Amazon Web Services, Inc.","us-west-2","US West (Oregon)","arn:ats:sqs:us-test-2:347410479675:mibelllmel-i-032l64f2065481b12",NULL,NULL,"Integration",11472,"Amazon Simple Queue Service","G95FST5FTYV3JSRX","G95FST5FTYV3JSRX.JRTCKXETXF.VXGXCWQKTY","51738928782","Atlas Nimbus",NULL
NULL,0.00001605990,"1234567890123","SunBird","USD","2024-10-01 00:00:00","2024-09-01 00:00:00","Usage",NULL,"$0.008 per used Application load balancer capacity unit-hour (or partial hour)","Usage-Based","2024-09-30 23:00:00","2024-09-30 22:00:00",NULL,NULL,NULL,NULL,NULL,0.002007490000000,"LCU-Hours",0.00000000000,0.00000000000,0.00000000000,"Amazon Web Services, Inc.",0.00001605990,"0.008","Standard",0.00200749000,"LCU-Hours","AWS","Amazon Web Services, Inc.","us-west-2","US West (Oregon)","arn:ats:emastilmoalfamanling:us-test-2:586597448978:moalfamanler/app/tungsten-lonbmuenle-amf/l365455f461l4e4a",NULL,NULL,"Networking",19384,"Elastic Load Balancing","2ETY8Y426S4237JU","2ETY8Y426S4237JU.JRTCKXETXF.6YS6EN2CT7","43883916739","Zenith Eclipse","{""application"": ""BrightLensMatrix"", ""environment"": ""dev"", ""business_unit"": ""ViennaAI""}"
NULL,0.00000000000,"1234567890123","SunBird","USD","2024-10-01 00:00:00","2024-09-01 00:00:00","Usage",NULL,"$0.00 per GB - US West (Oregon) data transfer from Asia Pacific (Singapore)","Usage-Based","2024-09-24 17:00:00","2024-09-24 16:00:00",NULL,NULL,NULL,NULL,NULL,0.000235520300000,"GB",0.00000000000,0.00000000000,0.00000000000,"Amazon Web Services, Inc.",0.00000000000,"0","Standard",0.00023552030,"GB","AWS","Amazon Web Services, Inc.","us-west-2","US West (Oregon)","arn:ats:emastilmoalfamanling:us-test-2:115386644665:moalfamanler/onap-gerrit-emf",NULL,NULL,"Networking",21444,"Elastic Load Balancing","9DEJHBACUYEYMVN8","9DEJHBACUYEYMVN8.JRTCKXETXF.6YS6EN2CT7","66362635077","Zenith Apollo","{""application"": ""BrightSourceCore"", ""environment"": ""dev"", ""business_unit"": ""MarseilleSRE""}"
NULL,0.00000000000,"1234567890123","SunBird","USD","2024-10-01 00:00:00","2024-09-01 00:00:00","Usage",NULL,"$0.00 per GB - Asia Pacific (Mumbai) data transfer from US East (Ohio)","Usage-Based","2024-09-23 20:00:00","2024-09-23 19:00:00",NULL,NULL,NULL,NULL,NULL,0.000000145300000,"GB",0.00000000000,0.00000000000,0.00000000000,"Amazon Web Services, Inc.",0.00000000000,"0","Standard",0.00000014530,"GB","AWS","Amazon Web Services, Inc.","ap-south-1","Asia Pacific (Mumbai)","arn:ats:el2:ap-soute-1:365499461711:natgatetal/nat-0ll07f56223a89b19",NULL,NULL,"Compute",22148,"Amazon Elastic Compute Cloud","SNA2C9ZKZQUUAPF8","SNA2C9ZKZQUUAPF8.JRTCKXETXF.6YS6EN2CT7","18938484842","Orion Zenith","{""application"": ""QuickNavigatorDrive"", ""environment"": ""dev"", ""business_unit"": ""PhoenixProcurement""}"
NULL,0.00000041370,"1234567890123","SunBird","USD","2024-10-01 00:00:00","2024-09-01 00:00:00","Usage",NULL,"$0.006 per used Network load balancer capacity unit-hour (or partial hour)","Usage-Based","2024-09-22 01:00:00","2024-09-22 00:00:00",NULL,NULL,NULL,NULL,NULL,0.000068958200000,"LCU-Hours",0.00000000000,0.00000000000,0.00000000000,"Amazon Web Services, Inc.",0.00000041370,"0.006","Standard",0.00006895820,"LCU-Hours","AWS","Amazon Web Services, Inc.","eu-central-1","EU (Frankfurt)","arn:ats:emastilmoalfamanling:eu-lentram-1:741112073413:moalfamanler/net/api-lip-proeelt-v19-f8s-m-rfqe87/0ba49495lfb1ae34",NULL,NULL,"Networking",22882,"Elastic Load Balancing","KWTFFXZYB6ZN45ZY","KWTFFXZYB6ZN45ZY.JRTCKXETXF.6YS6EN2CT7","79651190712","Zenith Horizon","{""application"": ""BlueAssetEdge"", ""environment"": ""prod"", ""business_unit"": ""MadisonData""}"
NULL,0.00000000000,"1234567890123","SunBird","USD","2024-10-01 00:00:00","2024-09-01 00:00:00","Usage",NULL,"$0.000 per GB - data transfer in per month","Usage-Based","2024-09-27 07:00:00","2024-09-27 06:00:00",NULL,NULL,NULL,NULL,NULL,6.327708644800000,"GB",0.00000000000,0.00000000000,0.00000000000,"Amazon Web Services, Inc.",0.00000000000,"0","Standard",6.32770864480,"GB","AWS","Amazon Web Services, Inc.","us-east-1","External","i-0ae9l98e3f12fa3el",NULL,NULL,"Compute",25152,"Amazon Elastic Compute Cloud","9MG5B7V4UUU2WPAV","9MG5B7V4UUU2WPAV.JRTCKXETXF.6YS6EN2CT7","11353890204","Atlas Orion","{""application"": ""BrightPathMatrix"", ""environment"": ""dev"", ""business_unit"": ""PeoriaData""}"
NULL,0.00015833330,"1234567890123","SunBird","USD","2024-10-01 00:00:00","2024-09-01 00:00:00","Usage",NULL,"$0.114 per GB-month of General Purpose SSD (gp2) provisioned storage - Asia Pacific (Mumbai)","Usage-Based","2024-09-01 01:00:00","2024-09-01 00:00:00",NULL,NULL,NULL,NULL,NULL,0.001388888900000,"GB-Months",0.00000000000,0.00000000000,0.00000000000,"Amazon Web Services, Inc.",0.00015833330,"0.114","Standard",0.00138888890,"GB-Months","AWS","Amazon Web Services, Inc.","ap-south-1","Asia Pacific (Mumbai)","vom-09l113e4e879a4636",NULL,"volume","Storage",37952,"Amazon Elastic Compute Cloud","4MB6SVGV7JKWFBUJ","4MB6SVGV7JKWFBUJ.JRTCKXETXF.6YS6EN2CT7","18938484842","Orion Zenith","{""application"": ""NextBrainHub"", ""environment"": ""dev"", ""business_unit"": ""KyotoEngineering""}"
NULL,0.00001518370,"1234567890123","SunBird","USD","2024-10-01 00:00:00","2024-09-01 00:00:00","Usage",NULL,"$0.085 per GB - next 40 TB / month data transfer out","Usage-Based","2024-09-30 07:00:00","2024-09-30 06:00:00",NULL,NULL,NULL,NULL,NULL,0.000178631400000,"GB",0.00000000000,0.00000000000,0.00000000000,"Amazon Web Services, Inc.",0.00001518370,"0.085","Standard",0.00017863140,"GB","AWS","Amazon Web Services, Inc.","us-west-2","US West (Oregon)","arn:ats:apigatetal:us-test-2::/restapis/pg73f0cf05/stages/prol1",NULL,NULL,"Networking",44868,"Amazon API Gateway","5M4327XEUKBBTWAT","5M4327XEUKBBTWAT.JRTCKXETXF.VF6T3GAUKQ","18938484842","Orion Zenith","{""application"": ""BlueVaultLite"", ""environment"": ""dev"", ""business_unit"": ""DarwinSRE""}"
NULL,0.00133333330,"1234567890123","SunBird","USD","2024-10-01 00:00:00","2024-09-01 00:00:00","Usage",NULL,"$0.12 per GB-month of General Purpose SSD (gp2) provisioned storage - Asia Pacific (Tokyo)","Usage-Based","2024-09-04 11:00:00","2024-09-04 10:00:00",NULL,NULL,NULL,NULL,NULL,0.011111111100000,"GB-Months",0.00000000000,0.00000000000,0.00000000000,"Amazon Web Services, Inc.",0.00133333330,"0.12","Standard",0.01111111110,"GB-Months","AWS","Amazon Web Services, Inc.","ap-northeast-1","Asia Pacific (Tokyo)","vom-0l67l922a007b1f3e",NULL,"volume","Storage",55648,"Amazon Elastic Compute Cloud","2KRSTFABXH77P2FQ","2KRSTFABXH77P2FQ.JRTCKXETXF.6YS6EN2CT7","18938484842","Orion Zenith",NULL
NULL,0.00000780900,"1234567890123","SunBird","USD","2024-10-01 00:00:00","2024-09-01 00:00:00","Usage",NULL,"$0.010 per GB - regional data transfer - in/out/between EC2 AZs or using elastic IPs or ELB","Usage-Based","2024-09-13 19:00:00","2024-09-13 18:00:00",NULL,NULL,NULL,NULL,NULL,0.000780902800000,"GB",0.00000000000,0.00000000000,0.00000000000,"Amazon Web Services, Inc.",0.00000780900,"0.01","Standard",0.00078090280,"GB","AWS","Amazon Web Services, Inc.","us-east-1","US East (N. Virginia)","i-0l16f7b530252bl71",NULL,NULL,"Compute",59103,"Amazon Elastic Compute Cloud","PNUBVW4CPC8XA46W","PNUBVW4CPC8XA46W.JRTCKXETXF.6YS6EN2CT7","11353890204","Atlas Orion","{""application"": ""BrightPathMatrix"", ""environment"": ""dev"", ""business_unit"": ""PeoriaData""}"
